Range,Primes Found,Duration
1000,168,0.0005102157592773438
2000,303,0.0014624595642089844
3000,430,0.0016627311706542969
4000,550,0.0032546520233154297
5000,669,0.0034236907958984375
6000,783,0.005082607269287109
7000,900,0.005754947662353516
8000,1007,0.006124258041381836
9000,1117,0.0071697235107421875
10000,1229,0.008998394012451172
11000,1335,0.009400367736816406
12000,1438,0.010561466217041016
13000,1547,0.01141977310180664
14000,1652,0.012485742568969727
15000,1754,0.013450860977172852
16000,1862,0.015085935592651367
17000,1960,0.015711545944213867
18000,2064,0.017400026321411133
19000,2158,0.018528223037719727
20000,2262,0.019701480865478516
21000,2360,0.02029895782470703
22000,2464,0.022437095642089844
23000,2564,0.023154020309448242
24000,2668,0.02445077896118164
25000,2762,0.025522947311401367
26000,2860,0.027431249618530273
27000,2961,0.02768254280090332
28000,3055,0.030250072479248047
29000,3153,0.030698299407958984
30000,3245,0.03243446350097656
31000,3340,0.03274846076965332
32000,3432,0.03535795211791992
33000,3538,0.03704190254211426
34000,3638,0.038168907165527344
35000,3732,0.03885245323181152
36000,3824,0.040592193603515625
37000,3923,0.04951739311218262
38000,4017,0.043651580810546875
39000,4107,0.04826712608337402
40000,4203,0.047197818756103516
41000,4291,0.046288251876831055
42000,4392,0.05070352554321289
43000,4494,0.04931998252868652
44000,4579,0.05325746536254883
45000,4675,0.05320262908935547
46000,4761,0.05530571937561035
47000,4851,0.05547809600830078
48000,4946,0.05842280387878418
49000,5035,0.05815410614013672
50000,5133,0.06174278259277344
51000,5222,0.06129026412963867
52000,5319,0.06455039978027344
53000,5408,0.06513118743896484
54000,5500,0.06912040710449219
55000,5590,0.06775498390197754
56000,5683,0.07139062881469727
57000,5782,0.07157135009765625
58000,5873,0.07494759559631348
59000,5963,0.07381200790405273
60000,6057,0.07860350608825684
61000,6145,0.07753396034240723
62000,6232,0.08458709716796875
63000,6320,0.08137702941894531
64000,6413,0.08696198463439941
65000,6493,0.08390212059020996
66000,6591,0.0880281925201416
67000,6675,0.08701658248901367
68000,6774,0.09115266799926758
69000,6854,0.0895390510559082
70000,6935,0.09421110153198242
71000,7033,0.09332537651062012
72000,7128,0.09875607490539551
73000,7218,0.0973811149597168
74000,7301,0.1019594669342041
75000,7393,0.10125589370727539
76000,7484,0.1053314208984375
77000,7567,0.10387349128723145
78000,7662,0.10955214500427246
79000,7746,0.10929584503173828
80000,7837,0.11320996284484863
81000,7925,0.11119771003723145
82000,8017,0.11658906936645508
83000,8106,0.11561989784240723
84000,8190,0.12001514434814453
85000,8277,0.11802911758422852
86000,8362,0.12484359741210938
87000,8450,0.12222599983215332
88000,8543,0.13567137718200684
89000,8619,0.1255650520324707
90000,8713,0.1291344165802002
91000,8802,0.1306626796722412
92000,8887,0.13471674919128418
93000,8984,0.1329975128173828
94000,9070,0.13958525657653809
95000,9157,0.13817095756530762
96000,9252,0.14357519149780273
97000,9336,0.13997340202331543
98000,9418,0.14852046966552734
99000,9505,0.14513659477233887
100000,9592,0.15152597427368164
101000,9673,0.14834308624267578
102000,9766,0.15492725372314453
103000,9853,0.15297555923461914
104000,9933,0.15827035903930664
105000,10024,0.16051959991455078
106000,10106,0.1622786521911621
107000,10198,0.16085577011108398
108000,10274,0.16656279563903809
109000,10365,0.16562151908874512
110000,10453,0.17224454879760742
111000,10536,0.16810393333435059
112000,10620,0.17623162269592285
113000,10701,0.17409586906433105
114000,10789,0.18164801597595215
115000,10871,0.1777498722076416
116000,10964,0.18606185913085938
117000,11045,0.18214011192321777
118000,11135,0.18916630744934082
119000,11214,0.18654417991638184
120000,11301,0.19457602500915527
121000,11389,0.18890714645385742
122000,11475,0.19788432121276855
123000,11563,0.1952497959136963
124000,11651,0.202178955078125
125000,11734,0.2000293731689453
126000,11818,0.20984554290771484
127000,11901,0.20408082008361816
128000,11987,0.21234464645385742
129000,12076,0.20705389976501465
130000,12159,0.21598434448242188
131000,12244,0.21196556091308594
132000,12327,0.22048664093017578
133000,12414,0.2164168357849121
134000,12496,0.22292518615722656
135000,12576,0.2198474407196045
136000,12665,0.23154854774475098
137000,12761,0.224745512008667
138000,12841,0.2323896884918213
139000,12926,0.22833824157714844
140000,13010,0.23900985717773438
141000,13097,0.23567509651184082
142000,13184,0.24193215370178223
143000,13266,0.238816499710083
144000,13343,0.2465372085571289
145000,13422,0.24310779571533203
146000,13507,0.2511324882507324
147000,13591,0.24876904487609863
148000,13674,0.26358842849731445
149000,13757,0.2520744800567627
150000,13848,0.2609248161315918
151000,13933,0.2592911720275879
152000,14023,0.26480579376220703
153000,14111,0.262601375579834
154000,14188,0.2702608108520508
155000,14272,0.2665584087371826
156000,14357,0.2760157585144043
157000,14433,0.27097415924072266
158000,14521,0.2818598747253418
159000,14598,0.2756338119506836
160000,14683,0.28673601150512695
161000,14768,0.2800712585449219
162000,14852,0.28995203971862793
163000,14933,0.28487300872802734
164000,15016,0.29570698738098145
165000,15093,0.2896401882171631
166000,15173,0.29912424087524414
167000,15254,0.29424452781677246
168000,15337,0.30571413040161133
169000,15410,0.2978484630584717
170000,15497,0.3108196258544922
171000,15584,0.305065393447876
172000,15665,0.31609177589416504
173000,15754,0.3100268840789795
174000,15833,0.32010960578918457
175000,15916,0.3137936592102051
176000,15991,0.32370567321777344
177000,16086,0.32073521614074707
178000,16159,0.3287849426269531
179000,16248,0.32522058486938477
180000,16342,0.3372499942779541
181000,16413,0.33028602600097656
182000,16492,0.3392963409423828
183000,16583,0.334306001663208
184000,16662,0.3421761989593506
185000,16745,0.3382694721221924
186000,16836,0.3519749641418457
187000,16915,0.3431253433227539
188000,17002,0.35617566108703613
189000,17082,0.3497786521911621
190000,17170,0.3600471019744873
191000,17245,0.35602879524230957
192000,17326,0.3656015396118164
193000,17415,0.36013197898864746
194000,17499,0.37064504623413086
195000,17573,0.3649473190307617
196000,17658,0.3760247230529785
197000,17734,0.3705005645751953
198000,17821,0.3795304298400879
199000,17907,0.37690305709838867
200000,17984,0.38626885414123535
